num_stops,time_stopped,average_moving_speed,characteristic_acceleration,aerodynamic_speed_squared,change_ in_kinetic_energy,change_in_potential_energy,class
7.0,7.0,93.0,34,8.4,4,25.6,9
7.0,7.0,91.0,34,8.3,4,25.7,9
8.9,8.9,151.0,26,10.9,6,15.1,12
9.3,9.3,160.0,25,11.3,6,13.7,13
8.4,8.4,158.0,25,11.2,6,13.8,13
9.2,9.2,167.0,24,11.6,6,12.4,13
9.0,9.0,155.0,25,11.1,6,13.9,12
10.0,10.0,201.0,22,13.1,6,8.9,15
9.0,9.0,167.0,24,11.6,6,12.4,13
8.2,8.2,148.0,26,10.8,6,15.2,12
8.2,8.2,137.0,27,10.3,6,16.7,12
8.5,8.5,144.0,27,10.6,6,16.4,12
9.2,9.2,155.0,25,11.1,6,13.9,12
9.7,9.7,162.0,25,11.4,6,13.6,12
9.7,9.7,162.0,25,11.4,6,13.6,12
9.3,9.3,155.0,25,11.1,6,13.9,12
8.4,8.4,151.0,26,10.9,6,15.1,13
9.3,9.3,164.0,25,11.5,5,13.5,13
14.8,14.8,337.0,15,19.0,8,4.0,22
14.8,14.8,337.0,15,19.0,8,4.0,22
14.8,14.8,339.0,15,19.1,8,4.10,22
13.7,13.7,328.0,15,18.6,8,3.60,22
14.6,14.6,342.0,15,19.2,8,4.19,22
15.3,15.3,351.0,14,19.6,8,5.60,23
13.7,13.7,328.0,15,18.6,8,3.60,22
13.7,13.7,328.0,15,18.6,8,3.60,22
7.6,7.6,121.0,29,9.6,4,19.4,11
6.9,6.9,107.0,31,9.0,4,22.0,10
7.6,7.6,121.0,29,9.6,4,19.4,11
6.8,6.8,105.0,32,8.9,4,23.1,10
7.5,7.5,121.0,29,9.6,4,19.4,11
6.8,6.8,105.0,32,8.9,4,23.1,10
7.6,7.6,128.0,29,9.9,6,19.1,11
7.6,7.6,128.0,29,9.9,6,19.1,11
7.8,7.8,132.0,28,10.1,6,17.9,11
7.7,7.7,135.0,28,10.2,6,17.8,12
7.8,7.8,132.0,28,10.1,6,17.9,11
7.7,7.7,135.0,28,10.2,6,17.8,12
8.5,8.5,148.0,26,10.8,6,15.2,12
7.7,7.7,135.0,28,10.2,6,17.8,12
8.5,8.5,169.0,24,11.7,8,12.3,14
9.1,9.1,183.0,23,12.3,8,10.7,14
8.5,8.5,169.0,24,11.7,8,12.3,14
8.5,8.5,160.0,25,11.3,8,13.7,13
9.3,9.3,201.0,22,13.1,8,8.9,16
9.2,9.2,178.0,23,12.1,8,10.9,14
9.2,9.2,178.0,23,12.1,8,10.9,14
10.8,10.8,229.0,20,14.3,12,5.69,17
9.2,9.2,178.0,23,12.1,8,10.9,14
10.8,10.8,229.0,20,14.3,12,5.69,17
6.9,6.9,98.0,33,8.6,4,24.4,9
7.8,7.8,146.0,26,10.7,6,15.3,13
7.3,7.3,114.0,30,9.3,4,20.7,10
7.8,7.8,146.0,26,10.7,6,15.3,13
7.8,7.8,144.0,27,10.6,6,16.4,12
8.8,8.8,174.0,24,11.9,6,12.1,14
7.8,7.8,144.0,27,10.6,6,16.4,12
7.8,7.8,146.0,26,10.7,6,15.3,13
7.8,7.8,144.0,27,10.6,6,16.4,12
8.8,8.8,174.0,24,11.9,6,12.1,14
8.6,8.6,167.0,24,11.6,8,12.4,14
8.6,8.6,167.0,24,11.6,8,12.4,14
7.4,7.4,121.0,29,9.6,4,19.4,11
8.3,8.3,146.0,26,10.7,6,15.3,12
8.7,8.7,171.0,24,11.8,8,12.2,14
8.9,8.9,190.0,22,12.6,8,9.4,15
10.5,10.5,224.0,20,14.1,8,5.9,17
8.7,8.7,171.0,24,11.8,8,12.2,14
8.6,8.6,167.0,24,11.6,8,12.4,14
10.5,10.5,224.0,20,14.1,8,5.9,17
8.7,8.7,171.0,24,11.8,8,12.2,14
6.9,6.9,98.0,33,8.6,4,24.4,9
7.4,7.4,121.0,29,9.6,6,19.4,11
