match_no,inningno,ballnumber,over,outcome,batter,bowler,comment,BattingTeam
1,1,1,0.1,0,Devon Conway,Mohammed Shami,"Mohammed Shami to Devon Conway, no run,",Chennai Super Kings
1,1,2,0.2,1lb,Devon Conway,Mohammed Shami,"Mohammed Shami to Devon Conway, 1 leg bye,",Chennai Super Kings
1,1,3,0.3,0,Ruturaj Gaikwad,Mohammed Shami,"Mohammed Shami to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,4,0.4,1,Ruturaj Gaikwad,Mohammed Shami,"Mohammed Shami to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,5,0.5,0,Devon Conway,Mohammed Shami,"Mohammed Shami to Devon Conway, no run,",Chennai Super Kings
1,1,6,0.6,0,Devon Conway,Mohammed Shami,"Mohammed Shami to Devon Conway, no run,",Chennai Super Kings
1,1,7,1.1,4,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, Four,",Chennai Super Kings
1,1,8,1.2,0,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,9,1.3,4,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, Four,",Chennai Super Kings
1,1,10,1.4,1,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,11,1.5,1,Devon Conway,Hardik Pandya,"Hardik Pandya to Devon Conway, 1 run,",Chennai Super Kings
1,1,12,1.6,1,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,13,2.1,1,Ruturaj Gaikwad,Mohammed Shami,"Mohammed Shami to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,14,2.2,w,Devon Conway,Mohammed Shami,"Mohammed Shami to Devon Conway, no run,                           Wicket - b M Shami batsmen out 1(6)",Chennai Super Kings
1,1,15,2.3,0,Moeen Ali,Mohammed Shami,"Mohammed Shami to Moeen Ali, no run,",Chennai Super Kings
1,1,16,2.4,0,Moeen Ali,Mohammed Shami,"Mohammed Shami to Moeen Ali, no run,",Chennai Super Kings
1,1,17,2.5,0,Moeen Ali,Mohammed Shami,"Mohammed Shami to Moeen Ali, no run,",Chennai Super Kings
1,1,18,2.6,0,Moeen Ali,Mohammed Shami,"Mohammed Shami to Moeen Ali, no run,",Chennai Super Kings
1,1,19,3.1,6,Ruturaj Gaikwad,Josh Little,"Josh Little to Ruturaj Gaikwad, Six,",Chennai Super Kings
1,1,20,3.2,4,Ruturaj Gaikwad,Josh Little,"Josh Little to Ruturaj Gaikwad, Four,",Chennai Super Kings
1,1,21,3.3,1,Ruturaj Gaikwad,Josh Little,"Josh Little to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,22,3.4,0,Moeen Ali,Josh Little,"Josh Little to Moeen Ali, no run,",Chennai Super Kings
1,1,23,3.5,4,Moeen Ali,Josh Little,"Josh Little to Moeen Ali, Four,",Chennai Super Kings
1,1,24,3.6,0,Moeen Ali,Josh Little,"Josh Little to Moeen Ali, no run,",Chennai Super Kings
1,1,25,4.1,0,Ruturaj Gaikwad,Mohammed Shami,"Mohammed Shami to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,26,4.2,1,Ruturaj Gaikwad,Mohammed Shami,"Mohammed Shami to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,27,4.3,4,Moeen Ali,Mohammed Shami,"Mohammed Shami to Moeen Ali, Four,",Chennai Super Kings
1,1,28,4.4,1nb,Moeen Ali,Mohammed Shami,"Mohammed Shami to Moeen Ali, 1 no ball,",Chennai Super Kings
1,1,29,4.4,6,Moeen Ali,Mohammed Shami,"Mohammed Shami to Moeen Ali, Six,",Chennai Super Kings
1,1,30,4.5,4,Moeen Ali,Mohammed Shami,"Mohammed Shami to Moeen Ali, Four,",Chennai Super Kings
1,1,31,4.6,1,Moeen Ali,Mohammed Shami,"Mohammed Shami to Moeen Ali, 1 run,",Chennai Super Kings
1,1,32,5.1,0,Moeen Ali,Rashid Khan,"Rashid Khan to Moeen Ali, no run,",Chennai Super Kings
1,1,33,5.2,0,Moeen Ali,Rashid Khan,"Rashid Khan to Moeen Ali, no run,",Chennai Super Kings
1,1,34,5.3,0,Moeen Ali,Rashid Khan,"Rashid Khan to Moeen Ali, no run,",Chennai Super Kings
1,1,35,5.4,4,Moeen Ali,Rashid Khan,"Rashid Khan to Moeen Ali, Four,",Chennai Super Kings
1,1,36,5.5,w,Moeen Ali,Rashid Khan,"Rashid Khan to Moeen Ali, no run,                           Wicket - c Wriddhiman Saha b Rashid Khan batsmen out 23(17)",Chennai Super Kings
1,1,37,5.6,1,Ben S,Rashid Khan,"Rashid Khan to Ben Stokes, 1 run,",Chennai Super Kings
1,1,38,6.1,0,Ben S,Hardik Pandya,"Hardik Pandya to Ben Stokes, no run,",Chennai Super Kings
1,1,39,6.2,1,Ben S,Hardik Pandya,"Hardik Pandya to Ben Stokes, 1 run,",Chennai Super Kings
1,1,40,6.3,6,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, Six,",Chennai Super Kings
1,1,41,6.4,6,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, Six,",Chennai Super Kings
1,1,42,6.5,0,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,43,6.6,0,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,44,7.1,1,Ben S,Rashid Khan,"Rashid Khan to Ben Stokes, 1 run,",Chennai Super Kings
1,1,45,7.2,1,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,46,7.3,4,Ben S,Rashid Khan,"Rashid Khan to Ben Stokes, Four,",Chennai Super Kings
1,1,47,7.4,w,Ben S,Rashid Khan,"Rashid Khan to Ben Stokes, no run,                           Wicket - c Wriddhiman Saha b Rashid Khan batsmen out 7(6)",Chennai Super Kings
1,1,48,7.5,1,Ambati Rayudu,Rashid Khan,"Rashid Khan to Ambati Rayudu, 1 run,",Chennai Super Kings
1,1,49,7.6,1,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
